year,row,respondent_id,collector_id,start_date,end_date,ip_address,email_address,first_name,last_name,custom_data_1,how_often_use_R,how_often_use_Excel,how_often_use_GoogleSheets,how_often_use_SAS,how_often_use_Python,how_often_use_Tableau,how_often_use_MATLAB,how_often_use_PowerBI,how_often_use_SQL,how_proficient_R,how_proficient_Excel,how_proficient_GoogleSheets,how_proficient_SAS,how_proficient_Python,how_proficient_Tableau,how_proficient_MATLAB,how_proficient_PowerBI,how_proficient_SQL,suited_ratemaking_R,suited_reserving_R,suited_capital_modeling_R,suited_ratemaking_Excel,suited_reserving_Excel,suited_capital_modeling_Excel,suited_ratemaking_GoogleSheets,suited_reserving_GoogleSheets,suited_capital_modeling_GoogleSheets,suited_ratemaking_SAS,suited_reserving_SAS,suited_capital_modeling_SAS,suited_ratemaking_Python,suited_reserving_Python,suited_capital_modeling_Python,suited_ratemaking_Tableau,suited_reserving_Tableau,suited_capital_modeling_Tableau,suited_ratemaking_MATLAB,suited_reserving_MATLAB,suited_capital_modeling_MATLAB,suited_ratemaking_PowerBI,suited_reserving_PowerBI,suited_capital_modeling_PowerBI,suited_ratemaking_SQL,suited_reserving_SQL,suited_capital_modeling_SQL,what_other_tools_should_be_added,increase_proficiency_R,increase_proficiency_Excel,increase_proficiency_GoogleSheets,increase_proficiency_SAS,increase_proficiency_Python,increase_proficiency_Tableau,increase_proficiency_MATLAB,increase_proficiency_PowerBI,increase_proficiency_SQL,increase_proficiency_other,barrier_learning_inadequate_staff,barrier_learning_lack_of_management_support,barrier_learning_lack_of_it_support,barrier_learning_financial_cost,barrier_learning_not_enough_time,barrier_learning_no_perceived_benefit,barrier_learning_other,barrier_implementation_inadequate_staff,barrier_implementation_lack_of_management_support,barrier_implementation_lack_of_it_support,barrier_implementation_financial_cost,barrier_implementation_not_enough_time,barrier_implementation_no_perceived_benefit,barrier_implementation_other,technique_use_linear_models,technique_use_credibility,technique_use_premium_adjustment,technique_use_excess_loss_analysis,technique_use_bayesian,technique_use_bornhuetter_ferguson,technique_use_time_series,technique_use_aideep_learning,technique_use_chain_ladder,technique_use_tree_based_methods,technique_use_unsupervised_learning,technique_use_other,additional_comments,designation,age,where_are_you_located,located_other,what_type_of_company_do_you_work_for,type_of_company_other,actuaries_at_my_organization,years_of_experience,how_often_use_Other,how_proficient_Other,suited_Other,barrier_technique_inadequate_staff,barrier_technique_lack_of_management_support,barrier_technique_lack_of_it_support,barrier_technique_financial_cost,barrier_technique_not_enough_time,barrier_technique_no_perceived_benefit,barrier_technique_other,new_tech_to_adopt,should_have_asked,how_often_use_Other_specific,how_proficient_Other_specific,suited_ratemaking_Other,suited_reserving_Other,suited_capital_modeling_Other,suited_Other_specific,learning_plan_self_study,learning_plan_online,learning_plan_in_person,learning_plan_other,technique_use_frequency_severity,technique_use_triangle_based,technique_use_simulation,barrier_technique_lack_of_knowledge,designation_none,designation_acas,designation_fcas,designation_cspa,ok_with_being_contacted
2021,1,12834123218,405148313,7/21/2021 6:06,7/21/2021 6:11,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,About once a month,About once a month,At least once a day,Not at all,At least once a day,At least once a day,Basic stuff,Expert,Not at all,Advanced,Basic stuff,Intermediate,Basic stuff,Intermediate,Advanced,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Somewhat,None,,Excel,,,Python,,,,SQL,,,,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,,,,"Linear regression, including GLMs",,,,,,,AI/deep learning,,Tree-based methods like random forests,,,none,FCAS,31-40 years old,Asia,,Broker or (re)insurance intermediary,,5-Jan,Between 5 and 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,2,12831938215,405148313,7/15/2021 12:45,7/20/2021 10:56,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a month,Not at all,About once a week,About once a week,Basic stuff,Expert,Basic stuff,Intermediate,Not at all,Intermediate,Not at all,Intermediate,Advanced,Somewhat,Somewhat,Very much so,Very much so,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Somewhat,"reserving software packages; not because we use one I like, but because they seem useful if done right and it'd be good to get survey results from many actuaries",,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,25-Nov,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,3,12830465648,405148313,7/19/2021 19:43,7/19/2021 19:47,NA,NA,NA,NA,NA,Less than once a month,At least once a day,About once a month,Not at all,Not at all,Less than once a month,Not at all,Less than once a month,About once a week,Not at all,Expert,Intermediate,Not at all,Basic stuff,Intermediate,Not at all,Intermediate,Intermediate,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Very much so,Somewhat,Somewhat,Very much so,Somewhat,,,,,,,,,,,,,,,Financial cost,Not enough time,,,,,,Financial cost,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Consulting Firm,,5-Jan,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,4,12829067591,405148313,7/19/2021 9:36,7/19/2021 9:40,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Intermediate,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Intermediate,Very much so,Somewhat,Somewhat,Very much so,Very much so,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,"third party solutions - Prophet, ResQ, Arius, etc.",,Excel,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Other (please specify),Fintech,5-Jan,Between 5 and 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,5,12828965897,405148313,7/19/2021 8:52,7/19/2021 9:00,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Not at all,Not at all,At least once a day,Basic stuff,Expert,Expert,Intermediate,Not at all,Not at all,Not at all,Not at all,Expert,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Not at all,Not at all,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,R,,,,Python,,,,,,,,Lack of IT support,Financial cost,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,,"Bayesian analysis, and/or MCMC",,,,Chain-ladder,Tree-based methods like random forests,,,,ACAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 5 and 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,6,12827936419,405148313,7/18/2021 19:53,7/18/2021 19:59,NA,NA,NA,NA,NA,At least once a day,At least once a day,Not at all,Not at all,About once a week,Less than once a month,Not at all,Not at all,Less than once a month,Expert,Advanced,Not at all,Not at all,Expert,Basic stuff,Basic stuff,Basic stuff,Intermediate,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,"There could be political considerations, I'd be curious about usage of various proprietary systems like Emblem, Remetrica, Insureware, Alteryx, etc.  Also PowerBI and Tableau are arguably in the same category.",R,,,,,,,,,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Broker or (re)insurance intermediary,,51-200,Between 15 and 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,7,12826142105,405148313,7/17/2021 8:11,7/17/2021 8:17,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,None,R,Excel,,,,,,,,,,,,,Not enough time,No perceived benefit,,,,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,61 or older,United States,,Consulting Firm,,5-Jan,More than 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,8,12826009705,405148313,7/17/2021 5:35,7/17/2021 5:39,NA,NA,NA,NA,NA,Less than once a month,At least once a day,Less than once a month,Less than once a month,Not at all,Not at all,Not at all,Less than once a month,Not at all,Basic stuff,Expert,Advanced,Advanced,Not at all,Basic stuff,Not at all,Basic stuff,Not at all,Very much so,Very much so,Very much so,Somewhat,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,Excel,,,,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,31-40 years old,Other (please specify),New Zealand,Consulting Firm,,5-Jan,Between 10 and 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,9,12825987910,405148313,7/17/2021 5:07,7/17/2021 5:12,NA,NA,NA,NA,NA,Less than once a month,At least once a day,Not at all,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Less than once a month,Intermediate,Intermediate,Not at all,Expert,Not at all,Not at all,Not at all,Not at all,Basic stuff,Somewhat,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,,,,,,,,,,,,,Lack of management support,,Financial cost,Not enough time,,,,Lack of management support,,Financial cost,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,,,,,Tree-based methods like random forests,,,,None yet,Prefer not to say,Australia,,Insurance company,,5-Jan,Between 5 and 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,10,12825580812,405148313,7/16/2021 21:03,7/16/2021 21:05,NA,NA,NA,NA,NA,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Not at all,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,Excel,,,,,,,SQL,,Insufficient/inadequate staff,Lack of management support,,Financial cost,Not enough time,No perceived benefit,,Insufficient/inadequate staff,Lack of management support,,Financial cost,Not enough time,No perceived benefit,,,Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Insurance company,,26-50,Between 5 and 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
