respondent_id,actuarial_credential,age,where_are_you_located,what_type_of_company_do_you_work_for,actuaries_at_my_organization,years_of_experience,year
202100001,FCAS,"(30, 40]",Asia,Broker,"(0, 5]","[5, 10)",2021
202100002,FCAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)",2021
202100003,FCAS,"(50, 60]",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100004,FCAS,"(30, 40]",United States,Other,"(0, 5]","[5, 10)",2021
202100005,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[5, 10)",2021
202100006,FCAS,"(40, 50]",United States,Broker,"(50, 200]","[15, 20)",2021
202100007,FCAS,"(60, Inf)",United States,Consulting,"(0, 5]","[20, Inf)",2021
202100008,ACAS,"(30, 40]",Other,Consulting,"(0, 5]","[10, 15)",2021
202100009,None,NA,Other,Insurance,"(0, 5]","[5, 10)",2021
202100010,ACAS,"(0, 30]",United States,Insurance,"(25, 50]","[5, 10)",2021
202100011,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100012,FCAS,"(40, 50]",United States,Reinsurance,"(10, 25]","[15, 20)",2021
202100013,ACAS,"(30, 40]",Canada,Insurance,"(10, 25]","[10, 15)",2021
202100014,ACAS,"(30, 40]",United States,Insurance,"(10, 25]","[10, 15)",2021
202100015,FCAS,"(50, 60]",United States,Insurance,"(5, 10]","[20, Inf)",2021
202100016,FCAS,"(30, 40]",Asia,Reinsurance,"(0, 5]","[10, 15)",2021
202100017,FCAS,"(0, 30]",Canada,Insurance,"(50, 200]","(0, 5)",2021
202100018,FCAS,"(30, 40]",Other,Insurance,"(10, 25]","[15, 20)",2021
202100019,FCAS,"(60, Inf)",United States,Other,"(0, 5]","[20, Inf)",2021
202100020,ACAS,"(30, 40]",Canada,Insurance,"(50, 200]","[5, 10)",2021
202100021,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100022,FCAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100023,FCAS,"(40, 50]",Canada,Consulting,"(0, 5]","[20, Inf)",2021
202100024,ACAS,"(50, 60]",United States,Insurance,"(25, 50]","[10, 15)",2021
202100025,ACAS,"(30, 40]",Canada,Insurance,"(25, 50]","[10, 15)",2021
202100026,FCAS,"(30, 40]",United States,Consulting,"(200, Inf)","[10, 15)",2021
202100027,FCAS,"(30, 40]",Canada,Broker,"(50, 200]","[10, 15)",2021
202100028,FCAS,"(40, 50]",United States,Insurance,"(0, 5]","[20, Inf)",2021
202100029,FCAS,"(40, 50]",United States,Other,"(0, 5]","[20, Inf)",2021
202100030,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[20, Inf)",2021
202100031,FCAS,"(40, 50]",United States,Insurance,"(10, 25]","[15, 20)",2021
202100032,FCAS,"(30, 40]",United States,Insurance,"(50, 200]","[10, 15)",2021
202100033,ACAS,"(50, 60]",United States,Consulting,"(0, 5]","[15, 20)",2021
202100034,FCAS,"(30, 40]",Canada,Insurance,"(50, 200]","[10, 15)",2021
202100035,ACAS,"(50, 60]",United States,Reinsurance,"(0, 5]","[20, Inf)",2021
202100036,FCAS,"(30, 40]",United States,Insurance,"(5, 10]","[10, 15)",2021
202100037,FCAS,"(30, 40]",Asia,Consulting,"(0, 5]","[5, 10)",2021
202100038,FCAS,"(40, 50]",Asia,Reinsurance,"(0, 5]","[15, 20)",2021
202100039,FCAS,"(40, 50]",Canada,Other,"(200, Inf)","[20, Inf)",2021
202100040,FCAS,"(0, 30]",United States,Insurance,"(200, Inf)","[5, 10)",2021
202100041,ACAS,"(30, 40]",United States,Insurance,"(0, 5]","[10, 15)",2021
202100042,FCAS,"(30, 40]",United States,Insurance,"(25, 50]","[15, 20)",2021
202100043,FCAS,"(50, 60]",Canada,Consulting,"(0, 5]","[20, Inf)",2021
202100044,FCAS,"(30, 40]",United States,Reinsurance,"(50, 200]","[15, 20)",2021
202100045,FCAS,"(50, 60]",United States,Insurance,NA,NA,2021
202100046,FCAS,"(30, 40]",Other,Insurance,"(0, 5]","[5, 10)",2021
202100047,FCAS,"(30, 40]",United States,Reinsurance,"(25, 50]","[15, 20)",2021
202100048,FCAS,"(40, 50]",United States,Insurance,"(50, 200]","[15, 20)",2021
202100049,ACAS,"(60, Inf)",Other,Consulting,"(0, 5]","[20, Inf)",2021
202100050,ACAS,"(30, 40]",United States,Other,"(50, 200]","[10, 15)",2021
202100051,FCAS,"(30, 40]",Canada,Insurance,"(5, 10]","[5, 10)",2021
202100052,FCAS,"(50, 60]",United States,Other,"(50, 200]","[20, Inf)",2021
202100053,FCAS,"(30, 40]",United States,Insurance,"(200, Inf)","[5, 10)",2021
