old_name,new_name
Age|Response,age
Approximate number of CAS actuaries at my organization:|Response,actuaries_at_my_organization
Collector ID,collector_id
Custom Data 1,custom_data_1
Designation|ACAS,designation_acas
Designation|CSPA,designation_cspa
Designation|FCAS,designation_fcas
Designation|None yet,designation_none
Designation|Response,designation
Email Address,email_address
End Date,end_date
First Name,first_name
For which of the following tools do you plan to increase your proficiency in the next 12 months?|A business intelligence dashboarding tool like Power BI,increase_proficiency_PowerBI
For which of the following tools do you plan to increase your proficiency in the next 12 months?|A data visualization tool like Tableau,increase_proficiency_Tableau
For which of the following tools do you plan to increase your proficiency in the next 12 months?|Excel,increase_proficiency_Excel
For which of the following tools do you plan to increase your proficiency in the next 12 months?|Google Sheets,increase_proficiency_GoogleSheets
For which of the following tools do you plan to increase your proficiency in the next 12 months?|Matlab/Octave,increase_proficiency_MATLAB
For which of the following tools do you plan to increase your proficiency in the next 12 months?|Other (please specify),increase_proficiency_other
For which of the following tools do you plan to increase your proficiency in the next 12 months?|Python,increase_proficiency_Python
For which of the following tools do you plan to increase your proficiency in the next 12 months?|R,increase_proficiency_R
For which of the following tools do you plan to increase your proficiency in the next 12 months?|SAS,increase_proficiency_SAS
For which of the following tools do you plan to increase your proficiency in the next 12 months?|SQL,increase_proficiency_SQL
How many years of experience do you have working in the actuarial field?|Response,years_of_experience
How often do you use each of the following tools?|Business intelligence dasboarding tool like PowerBI,how_often_use_PowerBI
How often do you use each of the following tools?|Business intelligence dashboarding tool like PowerBI,how_often_use_PowerBI
How often do you use each of the following tools?|Data visualization tool like Tableau,how_often_use_Tableau
How often do you use each of the following tools?|Excel,how_often_use_Excel
"How often do you use each of the following tools?|If something else, please specify:",how_often_use_Other_specific
How often do you use each of the following tools?|Matlab/Octave,how_often_use_MATLAB
How often do you use each of the following tools?|Non-Excel spreadsheet like Google Sheets,how_often_use_GoogleSheets
How often do you use each of the following tools?|Python,how_often_use_Python
How often do you use each of the following tools?|R,how_often_use_R
How often do you use each of the following tools?|SAS,how_often_use_SAS
How often do you use each of the following tools?|Something else,how_often_use_Other
How often do you use each of the following tools?|SQL,how_often_use_SQL
How proficient are you with each of the following tools?|Business intelligence dasboarding tool like PowerBI,how_proficient_PowerBI
How proficient are you with each of the following tools?|Business intelligence dashboarding tool like PowerBI,how_proficient_PowerBI
How proficient are you with each of the following tools?|Data visualization tool like Tableau,how_proficient_Tableau
How proficient are you with each of the following tools?|Excel,how_proficient_Excel
"How proficient are you with each of the following tools?|If something else, please specify:<br>",how_proficient_Other_specific
How proficient are you with each of the following tools?|Matlab/Octave,how_proficient_MATLAB
How proficient are you with each of the following tools?|Non-Excel spreadsheet like Google Sheets,how_proficient_GoogleSheets
How proficient are you with each of the following tools?|Python,how_proficient_Python
How proficient are you with each of the following tools?|R,how_proficient_R
How proficient are you with each of the following tools?|SAS,how_proficient_SAS
How proficient are you with each of the following tools?|Something else,how_proficient_Other
How proficient are you with each of the following tools?|SQL,how_proficient_SQL
How well do you think the following tools are suited for various areas of actuarial practice?|Business intelligence dasboarding tool like PowerBI - Capital modeling,suited_capital_modeling_PowerBI
How well do you think the following tools are suited for various areas of actuarial practice?|Business intelligence dasboarding tool like PowerBI - Ratemaking,suited_ratemaking_PowerBI
How well do you think the following tools are suited for various areas of actuarial practice?|Business intelligence dasboarding tool like PowerBI - Reserving,suited_reserving_PowerBI
How well do you think the following tools are suited for various areas of actuarial practice?|Business intelligence dashboarding tool like PowerBI - Capital modeling,suited_capital_modeling_PowerBI
